export_id,inventory_baseline_sha,export_schema_version,metadata_evidence_id,surface_id,metadata_field,implementation_present_count,implementation_absent_count,implementation_unknown_count,implementation_not_applicable_count,implementation_values_json,implementation_formats_json,implementation_present_paths_json,contract_present_count,contract_absent_count,contract_unknown_count,contract_not_applicable_count,contract_values_json,contract_formats_json,contract_present_paths_json,known_disagreement_json
export:cf5b34fc1b9beb1b7cd2,1d103f5fa47aab8c8adfba8ea134dd29540426fe,0.2.0,metadata:7cef7057b493cfc5cd00,component:resources:views:components:ui:button:fixture001,blade_alias,1,0,0,0,"[""x-ui.button""]","[""string""]","[""resources/views/components/ui/button/index.blade.php""]",1,0,0,0,"[""x-ui.button""]","[""string""]","[""resources/views/components/ui/button/contract.php""]",null
export:cf5b34fc1b9beb1b7cd2,1d103f5fa47aab8c8adfba8ea134dd29540426fe,0.2.0,metadata:43a4e5166e4b7958fe6b,component:resources:views:components:ui:button:fixture001,contract_hash,0,1,0,0,[],[],[],0,1,0,0,[],[],[],null
export:cf5b34fc1b9beb1b7cd2,1d103f5fa47aab8c8adfba8ea134dd29540426fe,0.2.0,metadata:da439e50484734101e29,component:resources:views:components:ui:button:fixture001,contract_path_reference,1,0,0,0,"[""resources/views/components/ui/button/contract.php""]","[""repository_path""]","[""resources/views/components/ui/button/index.blade.php""]",1,0,0,0,"[""resources/views/components/ui/button/contract.php""]","[""repository_path""]","[""resources/views/components/ui/button/contract.php""]",null
export:cf5b34fc1b9beb1b7cd2,1d103f5fa47aab8c8adfba8ea134dd29540426fe,0.2.0,metadata:a87fa33a341b4068705a,component:resources:views:components:ui:button:fixture001,contract_schema_version,0,0,0,1,[],[],[],1,0,0,0,"[""2""]","[""integer""]","[""resources/views/components/ui/button/contract.php""]",null
export:cf5b34fc1b9beb1b7cd2,1d103f5fa47aab8c8adfba8ea134dd29540426fe,0.2.0,metadata:591ae0dc287f94c1a8c8,component:resources:views:components:ui:button:fixture001,human_readable_header,1,0,0,0,"[""present""]","[""comment_header""]","[""resources/views/components/ui/button/index.blade.php""]",1,0,0,0,"[""present""]","[""comment_header""]","[""resources/views/components/ui/button/contract.php""]",null
export:cf5b34fc1b9beb1b7cd2,1d103f5fa47aab8c8adfba8ea134dd29540426fe,0.2.0,metadata:a5855434a67fc6328b11,component:resources:views:components:ui:button:fixture001,implementation_path_reference,1,0,0,0,"[""resources/views/components/ui/button/index.blade.php""]","[""repository_path""]","[""resources/views/components/ui/button/index.blade.php""]",1,0,0,0,"[""resources/views/components/ui/button/index.blade.php""]","[""repository_path""]","[""resources/views/components/ui/button/contract.php""]",null
export:cf5b34fc1b9beb1b7cd2,1d103f5fa47aab8c8adfba8ea134dd29540426fe,0.2.0,metadata:803fd81c752ecc57c146,component:resources:views:components:ui:button:fixture001,last_updated,0,1,0,0,[],[],[],0,1,0,0,[],[],[],null
export:cf5b34fc1b9beb1b7cd2,1d103f5fa47aab8c8adfba8ea134dd29540426fe,0.2.0,metadata:c178af25e4fafaf3844c,component:resources:views:components:ui:button:fixture001,public_api_version,0,1,0,0,[],[],[],0,1,0,0,[],[],[],null
export:cf5b34fc1b9beb1b7cd2,1d103f5fa47aab8c8adfba8ea134dd29540426fe,0.2.0,metadata:9d59d2115b873769db78,component:resources:views:components:ui:button:fixture001,source_hash,0,1,0,0,[],[],[],0,1,0,0,[],[],[],null
export:cf5b34fc1b9beb1b7cd2,1d103f5fa47aab8c8adfba8ea134dd29540426fe,0.2.0,metadata:416fcf60861fc09b808e,component:resources:views:components:ui:button:fixture001,ui_key,1,0,0,0,"[""ui.component.button""]","[""string""]","[""resources/views/components/ui/button/index.blade.php""]",1,0,0,0,"[""ui.component.button""]","[""string""]","[""resources/views/components/ui/button/contract.php""]",null
