export_id,inventory_baseline_sha,export_schema_version,source_reference_id,subject_type,subject_id,evidence_kind,evidence_value,path,line_start,line_end,existence_state,source_blob_oid,source_sha256
export:cf5b34fc1b9beb1b7cd2,1d103f5fa47aab8c8adfba8ea134dd29540426fe,0.2.0,source-ref:1925c367bbfc5a583963,standard,standard:72970eebe096ef8a216b,path,docs/02-standards/ui/components/button.md,docs/02-standards/ui/components/button.md,,,unknown,,
export:cf5b34fc1b9beb1b7cd2,1d103f5fa47aab8c8adfba8ea134dd29540426fe,0.2.0,source-ref:9f12552818bcb0ef3fda,standard,standard:72970eebe096ef8a216b,path,resources/views/components/ui/button/contract.php,resources/views/components/ui/button/contract.php,,,present,ceea33ea7ff0e89a29d50eadac65b51b00bfd5e3,c7eeb6ed7c25f2d2421566c41fd77c39a475f746ce3410da90cb659378f239d1
export:cf5b34fc1b9beb1b7cd2,1d103f5fa47aab8c8adfba8ea134dd29540426fe,0.2.0,source-ref:5c8371bb38fd24135a0e,standard,standard:72970eebe096ef8a216b,path,resources/views/components/ui/button/index.blade.php,resources/views/components/ui/button/index.blade.php,,,present,cb0aba071e08c608f4afb24203a8f761f434b763,466a52a7cd6f03ce19808ae3d334d93e530a70dc11dd91e8afd7b9e2e41ea9f8
export:cf5b34fc1b9beb1b7cd2,1d103f5fa47aab8c8adfba8ea134dd29540426fe,0.2.0,source-ref:6e051e706fe8fb92e18a,standard,standard:f079c979fbe5e2277f28,path,app/Surfaces/Contracts/Surface.php,app/Surfaces/Contracts/Surface.php,,,unknown,,
export:cf5b34fc1b9beb1b7cd2,1d103f5fa47aab8c8adfba8ea134dd29540426fe,0.2.0,source-ref:18c252a812d866f0385b,standard,standard:f079c979fbe5e2277f28,path,docs/02-standards/ui/contract-file.md,docs/02-standards/ui/contract-file.md,,,unknown,,
export:cf5b34fc1b9beb1b7cd2,1d103f5fa47aab8c8adfba8ea134dd29540426fe,0.2.0,source-ref:a18746f915516862beef,surface,component:resources:views:components:ui:button:fixture001,observation,component:resources:views:components:ui:button:fixture001,,,,not_applicable,,
export:cf5b34fc1b9beb1b7cd2,1d103f5fa47aab8c8adfba8ea134dd29540426fe,0.2.0,source-ref:41db247391bb597bca7e,surface,component:resources:views:components:ui:button:fixture001,path,docs/02-standards/ui/components/button.md,docs/02-standards/ui/components/button.md,,,unknown,,
export:cf5b34fc1b9beb1b7cd2,1d103f5fa47aab8c8adfba8ea134dd29540426fe,0.2.0,source-ref:d030d61057f8ce994217,surface,component:resources:views:components:ui:button:fixture001,path,resources/views/components/ui/button/contract.php,resources/views/components/ui/button/contract.php,,,present,ceea33ea7ff0e89a29d50eadac65b51b00bfd5e3,c7eeb6ed7c25f2d2421566c41fd77c39a475f746ce3410da90cb659378f239d1
export:cf5b34fc1b9beb1b7cd2,1d103f5fa47aab8c8adfba8ea134dd29540426fe,0.2.0,source-ref:dde9fd4d8781f720579f,surface,component:resources:views:components:ui:button:fixture001,path,resources/views/components/ui/button/index.blade.php,resources/views/components/ui/button/index.blade.php,,,present,cb0aba071e08c608f4afb24203a8f761f434b763,466a52a7cd6f03ce19808ae3d334d93e530a70dc11dd91e8afd7b9e2e41ea9f8
export:cf5b34fc1b9beb1b7cd2,1d103f5fa47aab8c8adfba8ea134dd29540426fe,0.2.0,source-ref:9e7d91b095f884dbc676,surface,component_family:resources:views:components:ui:modal:fixture002,observation,component_family:resources:views:components:ui:modal:fixture002,,,,not_applicable,,
